Date,Open,High,Low,Close,Adj Close,Volume
3/21/2007,147.938828,149.241913,145.687164,148.667023,130.196671,6456630
3/22/2007,149.663498,155.412415,149.299393,154.281799,135.113861,6740515
3/23/2007,154.454269,154.454269,150.238388,151.301941,132.504227,6502954
3/26/2007,142.764801,151.560638,142.764801,144.211609,126.294792,12843084
3/28/2007,143.722946,143.914581,137.207504,137.897385,120.76503,13330313
3/29/2007,139.689117,143.406754,133.873138,137.293747,120.236382,21538334
3/30/2007,138.54892,140.465225,137.303329,139.545395,122.208305,6832833
4/2/2007,136.249359,136.249359,126.677406,128.564972,112.592087,15760343
4/3/2007,130.251312,131.42984,128.584137,130.577087,114.354225,10731454
4/4/2007,131.477753,132.407166,128.220032,130.845367,114.589172,10438129
4/5/2007,130.308807,133.135361,130.136337,131.477753,115.14299,11951144
4/9/2007,132.225113,136.009811,132.225113,134.850449,118.096657,6771919
4/10/2007,136.345169,139.047165,135.712784,138.271057,121.092285,10853496
4/11/2007,138.271057,140.08197,136.757172,138.51059,121.302063,7524325
4/12/2007,137.74408,137.782394,135.492416,136.517639,119.556725,7159874
4/13/2007,136.843414,139.411255,134.907944,139.181305,121.88945,8635014
4/16/2007,140.848495,144.661942,139.890335,143.770859,125.908791,6822657
4/17/2007,143.914581,145.926697,139.50708,140.00531,122.611076,12872730
4/18/2007,136.297256,141.998276,136.297256,138.45311,121.251709,3659201
4/19/2007,137.399139,138.395615,134.946274,136.651779,119.674187,7962444
4/20/2007,138.357285,140.551468,137.993195,138.529755,121.318825,5690599
4/23/2007,139.832855,140.599365,137.015884,137.619507,120.521683,5306996
4/24/2007,139.660385,144.489471,138.95134,142.113251,124.457146,10900597
4/25/2007,143.742111,147.06691,143.732529,145.457199,127.385628,11846531
4/26/2007,148.896973,151.359421,143.243866,146.904022,128.652695,11053662
4/27/2007,147.20105,148.398743,141.615005,143.598389,125.757774,9948118
4/30/2007,141.835388,145.830887,140.273605,144.058304,126.160522,7451148
5/3/2007,149.471863,149.471863,139.717865,140.48439,123.030647,11471043
5/4/2007,140.65686,142.707306,139.12381,140.17778,122.762115,7133672
5/7/2007,140.848495,142.381531,137.70575,139.56456,122.225098,9465356
5/8/2007,139.56456,140.848495,137.983612,138.95134,121.688026,3752855
5/9/2007,139.890335,140.17778,136.632614,138.596832,121.377602,6198884
5/10/2007,139.526245,140.608948,136.440979,136.987137,119.967865,5171736
5/11/2007,136.632614,138.136917,132.225113,137.226669,120.177666,7831144
5/14/2007,139.64122,139.852005,135.885254,137.054199,120.026634,5489681
5/15/2007,137.571609,137.954865,136.632614,136.891312,119.883972,3411010
5/16/2007,137.015884,141.404221,137.015884,140.781418,123.290764,5151150
5/17/2007,144.623611,145.026031,141.23175,143.837921,125.967522,8039853
5/18/2007,144.106216,145.064362,141.806641,142.151581,124.490692,7618219
5/21/2007,141.998276,142.764801,138.54892,139.018417,121.746819,12264711
5/22/2007,139.315445,142.506088,138.79805,139.305862,121.998535,9258281
5/23/2007,124.157463,140.628113,124.157463,135.674469,118.818298,10666188
5/24/2007,135.454086,137.399139,135.147476,136.575134,119.607071,5215967
5/25/2007,135.674469,139.6987,134.725891,139.305862,121.998535,5257662
5/28/2007,139.890335,141.979111,139.545395,140.417328,122.971893,5505702
5/29/2007,140.848495,142.554001,139.919083,141.969528,124.331261,8243886
5/30/2007,142.937271,142.937271,141.040115,142.209061,124.541046,4815603
5/31/2007,142.573166,146.482437,142.189911,144.815247,126.823441,12464001
6/1/2007,144.364914,145.581772,142.228226,143.330109,128.064774,7533520
6/4/2007,142.764801,142.764801,135.588226,136.220612,121.712479,12221534
6/5/2007,136.977554,138.223145,135.616974,136.153534,121.65255,7755969
6/6/2007,135.099579,136.057724,125.728836,131.841858,117.800079,12527247
6/7/2007,129.542282,136.000229,128.852417,129.896805,116.062187,6311982
6/8/2007,129.896805,129.896805,123.898766,124.981476,111.670364,17354227
6/11/2007,129.561447,129.561447,123.793365,125.173103,111.841583,7423355
6/12/2007,110.187592,126.284561,110.187592,122.873543,109.786934,8707101
6/13/2007,123.601738,125.958794,123.02684,123.64006,110.471817,9038473
6/14/2007,127.463097,127.463097,122.31781,123.074753,109.966721,15640931
6/15/2007,123.985001,131.266953,123.601738,124.636543,111.362167,9292336
6/18/2007,126.092934,126.092934,123.19931,123.592155,110.429008,12218408
6/19/2007,123.410103,127.424767,123.410103,127.146904,113.605156,7001533
6/20/2007,127.654724,132.234695,127.654724,131.535248,117.526123,11069756
6/21/2007,133.183273,133.758163,130.711227,131.746033,117.714462,12372606
6/22/2007,130.692062,131.746033,127.079834,131.132813,117.166565,6319606
6/25/2007,131.266953,132.320923,128.99614,129.954285,116.113541,2503587
6/26/2007,129.925552,131.841858,128.593719,131.190308,117.217934,3533010
6/27/2007,130.979507,131.362778,127.625977,128.718277,115.009171,3867018
6/28/2007,129.101532,129.513535,126.428284,127.319366,113.759254,8643134
6/29/2007,127.635559,129.350647,127.625977,128.430832,114.752342,3454072
7/2/2007,128.296692,131.726868,127.664307,130.730392,116.806999,4876715
7/3/2007,131.075333,133.164108,129.580612,131.42984,117.431938,9394908
7/4/2007,132.972473,135.578644,131.650223,134.400116,120.085876,6767243
7/5/2007,134.141418,136.613449,133.250336,135.971497,121.489899,5607997
7/6/2007,135.866089,137.590775,133.307831,136.287689,121.772415,7438227
7/9/2007,136.258942,138.45311,136.258942,137.264999,122.645622,4270367
7/10/2007,137.97403,143.071411,137.97403,142.429443,127.26004,11109692
7/11/2007,142.189911,142.429443,139.344193,141.05928,126.035812,4711528
7/12/2007,141.05928,142.764801,139.315445,141.777893,126.677864,7189321
7/13/2007,143.531311,147.957993,142.391113,146.99025,131.335068,11413563
7/16/2007,150.621658,150.621658,143.972076,145.543442,130.042358,12143775
7/17/2007,145.543442,146.980667,142.783966,143.492996,128.210312,6353285
7/18/2007,143.722946,144.681107,140.17778,142.448608,127.277176,4675385
7/19/2007,143.722946,150.430023,142.381531,148.849075,132.995956,8551619
7/20/2007,159.053391,159.053391,145.639252,147.095642,131.42926,9474134
7/23/2007,147.555557,149.471863,144.872726,146.904022,131.258041,5938127
7/24/2007,147.363937,149.280243,142.764801,143.167221,127.91925,3644245
7/25/2007,143.167221,143.167221,138.45311,139.12381,124.306465,6952344
7/26/2007,140.062805,146.070419,137.629089,140.244858,125.308121,16780305
7/27/2007,140.848495,140.848495,133.183273,133.978531,119.70919,8324724
7/30/2007,138.069839,138.069839,133.374893,135.530746,121.096085,5309903
7/31/2007,135.291199,137.74408,131.37236,134.026443,119.751991,15030485
